State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
MD,MD-07,BOARD OF ED BLTMR CNTY,NNG05GF38A Modification 1,GSFC - Goddard Space Flight Center,"Gwynn Oak, MD (District 07)",01/31/2006,03/14/2008,"Educational Institution,Local Government,, Cooperative Agreement",Educational - ,9000,9000,[None Indicated],N/A,N/A,WOODLAWN HIGH SCHOOL FIRST ROBOTS COMPETITION
MD,MD-05,A E C SERVICES INCORPORATED,GSFC0200203DNAS501130 Modification 1081,GSFC - Goddard Space Flight Center,"GREENBELT, MD (District 05)",01/31/2006,01/10/2007,"Hispanic American Owned Business,Minority Owned,SBA Certified 8A Program Participant,Veteran Owned,, Firm Fixed Price","Veteran Owned Small Business,Small Disadvantaged Business,8(A) Program,Small Business - ",12738,0,562910,N/A,N/A,ASBESTOS ABATEMENT SERVICES
MD,MD-04,SIGMA SPACE CORPORATION,NNG06HR46P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Lanham, MD (District 04)",01/31/2006,12/31/2006,"Hispanic American Owned Business,Minority Owned,SBA Certified 8A Program Participant,Small Business,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ",18345,18345,541330,N/A,N/A,mechanical and opto-mechanical support
MD,MD-05,"MENTOR TECHNOLOGIES, INC",NNG04EE42D Modification 3,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,02/15/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,19319,19319,518210,N/A,N/A,TO SUPPLY ENGINERING SUPPORT
MD,MD-05,SERVICE PHYSICS INCORPORATED,NNG06LU02P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,01/31/2007,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ",20034,20034,[None Indicated],N/A,N/A,SPECTRUM MAINTENANCE SERVICE AGREEMENT EXTENSION FOR X-RRAY PHOTOELECTRON SPECTROMETER
MD,MD-05,XEROX CORPORATION,NNG06EB34D Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,01/31/2009,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,27480,27480,333313,N/A,N/A,xerox 510dp machine lease and service
MD,MD-04,SIGMA SPACE CORPORATION,NNG06HR48P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Lanham, MD (District 04)",01/31/2006,12/31/2006,"Hispanic American Owned Business,Minority Owned,SBA Certified 8A Program Participant,Small Business,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ",33784,33784,541330,N/A,N/A,mechanical and opto-mechanical support
MD,MD-04,INTELLIGENT AUTOMATION INCORPORATED,NNA06BA03C Modification 1,ARC - Ames Research Center,"Derwood, MD (District 04)",01/31/2006,01/31/2008,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ",75000,599998,541710,N/A,N/A,Autonomous Collaborative Agents for Onboard Multi-Sensor Re-Targeting
MD,MD-05,SERVICE SOURCE INC,NNG05AZ03C Modification 7,GSFC - Goddard Space Flight Center,"GREENBELT, MD (District 05)",01/31/2006,09/30/2010,"Nonprofit Organization,Sheltered Workshop,, Firm Fixed Price",Non-Profit Institutions - ,170658,0,561210,N/A,N/A,ADMINISTRATIVE SERVICES AT NASA'GSFC AND WALLOPS FACILITIES
MD,MD-05,RAYTHEON TECHNICAL SERVICES CO,GSFC0200009DNAS500181 Modification 66,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,01/31/2006,"[No Vendor Indicators Found], Cost Plus Award Fee",Other Than Small Business - ,204915,0,[None Indicated],N/A,N/A,
MD,MD-05,RAYTHEON TECHNICAL SERVICES CO,GSFC0200009DNAS500181 Modification 71,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,01/31/2006,"[No Vendor Indicators Found], Cost Plus Award Fee",Other Than Small Business - ,311934,0,[None Indicated],N/A,N/A,
MD,MD-05,AVERSTAR INCORPORATED,NNG06HN03B Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,01/30/2010,"[No Vendor Indicators Found], Cost Plus Fixed Fee",Other Than Small Business - ,400000,4208398,541511,N/A,N/A,nasa gsfc mission operations and science projects information assurance and compliance support ORDERED UNDER NIH CONTRACT 263-01-D-0062
