State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	6	$20836132	4	$101901	0	$ 0	3	$11014	2	$20734231	2	$20734231	0	$ 0	0	$ 0	2	$5341196
AL	133	$2061093880	89	$300506491	20	$113180059	32	$183193957	11	$36673597	9	$36623798	4	$943276	5	$24958379	8	$9653394
AR	5	$4002636	4	$943437	0	$ 0	1	$64380	1	$3059199	1	$3059199	1	$ 0	0	$ 0	1	$1258568
AZ	68	$287377526	46	$24867466	7	$1163210	8	$4063922	4	$79464505	4	$79464505	0	$ 0	4	$14241370	9	$45465002
CA	629	$4597933807	437	$387886471	82	$95762364	117	$121604490	35	$2517747679	20	$111555733	0	$ 0	34	$134253412	73	$111885338
CO	131	$1197926859	100	$46663982	13	$2803705	10	$2002960	8	$115212884	6	$114966339	0	$ 0	6	$24894271	21	$68451544
CT	55	$37550728	31	$8666354	2	$274999	2	$202999	5	$4243496	2	$1378783	0	$ 0	1	$ 0	5	$3243495
DE	22	$13519638	13	$701352	0	$ 0	0	$ 0	2	$4549069	2	$4549069	1	$47755	2	$1569776	5	$2633352
FL	288	$1357339791	185	$160876651	42	$9225394	54	$86368852	17	$32332126	12	$27162898	2	$709482	10	$32522665	26	$32404911
GA	47	$24099070	28	$3124474	7	$779458	3	$691599	5	$17626348	3	$16686642	2	$22000	3	$1344826	6	$13232932
HI	10	$22800513	5	$-168250	1	$ 0	1	$ 0	1	$17694237	1	$17694237	0	$ 0	2	$4964751	5	$15543701
IA	6	$14029831	2	$498752	0	$ 0	0	$ 0	2	$12825384	2	$12825384	0	$ 0	0	$ 0	3	$4351931
ID	9	$4977267	4	$218829	0	$ 0	0	$ 0	4	$4426413	3	$4347044	0	$ 0	0	$ 0	3	$3290877
IL	80	$31004734	47	$7604194	9	$1151076	4	$1626313	8	$21438709	3	$10240059	0	$ 0	2	$1061729	11	$18062724
IN	25	$98431972	14	$10653166	0	$ 0	2	$264992	3	$13522727	1	$912200	0	$ 0	1	$ 0	4	$11059081
KS	17	$15135896	10	$8201994	2	$7131842	5	$7657693	2	$4257900	2	$4257900	0	$ 0	1	$1200799	4	$4016739
KY	13	$10264483	5	$5088990	1	$1499873	1	$1499873	4	$5064175	4	$5064175	0	$ 0	2	$3105983	5	$1979474
LA	26	$33727662	15	$28993406	3	$3199937	1	$65918	10	$3511455	8	$3093862	3	$804500	0	$ 0	6	$1827783
MA	180	$200323044	100	$32475495	10	$8495802	7	$2255472	16	$45771468	1	$5937571	0	$ 0	12	$93688808	31	$50894745
MD	265	$1770760651	178	$652539111	44	$131965914	74	$383365314	14	$112051322	10	$81331396	4	$677005	12	$231854682	22	$62378186
ME	10	$11342498	3	$1117865	1	$336095	0	$ 0	2	$1827517	1	$1805364	0	$ 0	4	$3086486	4	$2556308
MI	65	$35533156	37	$5979726	3	$1837011	3	$757809	7	$25886127	6	$25886127	0	$ 0	4	$115171	11	$18077003
MN	46	$15513212	23	$4720486	2	$488310	2	$1279348	5	$6710874	2	$6613146	0	$ 0	2	$6532855	4	$5715751
MO	30	$38671398	17	$2095885	2	$131282	2	$81488	4	$12542649	2	$2650215	0	$ 0	0	$ 0	4	$8697938
MS	58	$306995918	29	$40638393	10	$10996632	13	$18661640	5	$3516907	4	$3516907	0	$ 0	2	$417816	4	$271767
