State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	10	$22981910	3	$5909396	0	$ 0	2	$5901691	6	$12703042	5	$12086642	2	$499942	0	$ 0	6	$7465568
AL	347	$682266583	244	$141023611	48	$23522322	53	$78801008	31	$44727873	12	$34610001	10	$2666378	20	$16640583	34	$17877065
AR	13	$4169505	7	$1079809	0	$ 0	2	$375000	4	$3081348	3	$1145656	0	$ 0	0	$ 0	1	$1911692
AZ	118	$85840780	82	$33692506	12	$994306	4	$542509	18	$45276597	12	$43958711	0	$ 0	7	$1659424	17	$15999733
CA	1510	$3272215170	919	$288460171	113	$51090984	136	$153147685	231	$231338064	86	$83578507	1	$ 0	182	$140789111	148	$107914255
CO	203	$763550450	136	$18743305	13	$1641946	9	$225517	27	$74063466	9	$48246918	0	$ 0	24	$21827020	38	$39602383
CT	99	$146316893	64	$5378095	3	$44897	2	$482705	9	$4570891	4	$1589023	0	$ 0	8	$2376505	10	$3953123
DE	27	$7985484	12	$319706	1	$ 0	1	$ 0	2	$2452359	2	$2452359	0	$ 0	4	$4114559	4	$3367909
FL	518	$1012006522	343	$208075744	67	$25688726	45	$57432694	52	$23398120	9	$6857397	4	$-83438	44	$14120850	43	$23387129
GA	114	$27686816	56	$2734733	6	$580836	11	$111427	24	$19442033	7	$1248294	5	$1335019	16	$17997310	31	$11427296
HI	11	$17180480	4	$126692	0	$ 0	1	$11867	6	$13615535	5	$13322800	1	$-33036	2	$3659949	7	$9324271
IA	26	$9254682	10	$777736	0	$ 0	1	$ 0	11	$7206887	8	$5875349	0	$ 0	10	$5357729	13	$6966395
ID	16	$8945878	12	$804619	2	$90411	0	$ 0	3	$8141259	3	$8141259	0	$ 0	0	$ 0	4	$6244915
IL	158	$29182985	76	$9001010	6	$429156	15	$1523995	25	$10371592	10	$3266201	0	$ 0	21	$9229910	28	$10448144
IN	53	$108898836	26	$3763095	2	$209762	2	$256638	13	$8376212	4	$1536188	0	$ 0	7	$5957989	16	$7642664
KS	21	$4427382	9	$1446646	1	$100000	2	$128996	5	$1233585	3	$370585	0	$ 0	4	$1708176	7	$1127940
KY	23	$7243841	5	$222586	2	$12776	0	$ 0	11	$6512779	7	$3210401	0	$ 0	6	$3772350	12	$4880620
LA	42	$375602121	14	$1105864	1	$20352	1	$767251	21	$6182213	14	$2130451	5	$1956998	7	$3479763	17	$2202796
MA	399	$173684883	239	$25066224	12	$988488	16	$4339904	51	$40638560	5	$2673366	0	$ 0	73	$110824295	70	$49874272
