State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	8	$24625088	5	$70024	0	$ 0	3	$-138724	2	$24530064	2	$24530064	0	$ 0	1	$25000	5	$7079140
AL	146	$2071316063	100	$309290034	26	$143644051	31	$214749175	13	$36038996	10	$35913787	6	$963697	4	$10667039	8	$8391055
AR	4	$2830840	3	$199752	1	$43310	0	$ 0	1	$2631088	1	$2631088	1	$-25356	0	$ 0	1	$881697
AZ	75	$119489342	51	$12511409	9	$1073166	7	$352376	5	$80028155	4	$79958440	0	$ 0	6	$13561379	12	$37353718
CA	628	$5086380735	427	$302265153	76	$86793279	94	$128085968	41	$2880093847	28	$169605853	0	$ 0	39	$128389961	84	$113369470
CO	148	$1009431338	107	$34294032	15	$4754155	10	$3849029	8	$111328102	6	$111083179	0	$ 0	8	$25143518	21	$70294804
CT	54	$29125450	29	$9009209	2	$524672	4	$967187	5	$6355361	1	$3687011	0	$ 0	1	$24266	4	$4469357
DE	18	$16641645	8	$2301196	0	$ 0	2	$959204	2	$6769859	2	$6769859	1	$ 0	2	$2345548	5	$3441326
FL	273	$1429645793	183	$154077354	42	$19798370	54	$65771476	19	$39342984	12	$33108587	2	$444106	11	$37775011	25	$30915305
GA	46	$26054992	27	$3398486	9	$350686	5	$871562	6	$17118792	3	$16342779	2	$64887	3	$2455899	7	$13940908
HI	13	$24795888	7	$1020605	2	$28062	1	$ 0	1	$18546088	1	$18546088	0	$ 0	3	$5128597	6	$16472060
IA	11	$110540128	7	$1002115	0	$ 0	2	$732367	2	$109178981	2	$109178981	0	$ 0	1	$83985	2	$5419216
ID	10	$5761230	5	$455873	1	$107378	0	$ 0	4	$5305357	3	$5305357	0	$ 0	0	$ 0	4	$2605724
IL	81	$41480586	41	$8149673	8	$838499	5	$346118	11	$25381096	3	$13771030	0	$ 0	6	$2103818	17	$17047688
IN	30	$34347677	15	$6190160	0	$ 0	1	$799995	3	$11983474	1	$340914	0	$ 0	2	$155696	4	$9550616
KS	18	$23639779	9	$10849418	2	$7558096	5	$10782418	3	$9313498	3	$9313498	0	$ 0	2	$2588781	5	$2991241
KY	19	$9567202	11	$5978580	1	$1377416	1	$1377416	4	$3487674	4	$3487674	0	$ 0	4	$2731409	7	$922267
LA	24	$18622046	13	$8346427	3	$2586788	2	$4508494	7	$9241707	5	$8886209	3	$239383	1	$25000	6	$8395977
MA	181	$238183524	90	$16294697	12	$4312335	5	$926539	18	$65995472	2	$9233199	0	$ 0	16	$134440320	38	$64144919
MD	263	$2106130690	171	$677209083	38	$144567680	68	$379334524	15	$145038283	11	$108072106	5	$1913729	17	$324154850	28	$61005387
ME	11	$14008618	3	$444395	1	$439856	0	$ 0	2	$1386167	1	$1298939	0	$ 0	5	$5429946	8	$2880689
MI	86	$43692593	46	$8836699	4	$565342	5	$1699770	9	$26680087	8	$26655173	0	$ 0	2	$220607	14	$23702128
MN	37	$12339250	16	$3218206	2	$1666270	2	$1649892	4	$7464258	2	$7464258	0	$ 0	3	$7664120	4	$6509334
MO	21	$31099290	13	$2735901	3	$169038	2	$28743	5	$15897779	3	$3990600	1	$64058	0	$ 0	4	$10479921
MS	64	$277395326	35	$58942250	12	$12473234	13	$43066406	4	$4124864	3	$4124864	0	$ 0	2	$331725	5	$517598
MT	15	$14855063	10	$4727019	0	$ 0	1	$ 0	4	$10098044	4	$10098044	0	$ 0	1	$30000	4	$3659643
NC	64	$18019004	35	$8335561	6	$831734	1	$191328	16	$7959021	11	$5741236	3	$1874995	4	$1136056	16	$4432105
ND	4	$4348418	0	$ 0	0	$ 0	0	$ 0	2	$3013477	1	$2200541	0	$ 0	1	$24941	2	$842581
NE	7	$3219000	5	$197855	0	$ 0	0	$ 0	2	$3021145	2	$3021145	0	$ 0	0	$ 0	1	$994168
NH	37	$31595537	23	$13237244	1	$-3848	0	$ 0	2	$15986103	0	$ 0	0	$ 0	4	$15271884	5	$11098255
NJ	71	$41568793	40	$9459572	4	$322100	6	$3031527	6	$23570161	4	$6601170	0	$ 0	4	$4369550	9	$12019860
NM	42	$19744545	26	$8804924	5	$1651496	4	$2230834	5	$6683304	4	$5849552	0	$ 0	3	$823636	8	$4930090
NV	22	$12989612	15	$6893206	3	$1679596	1	$-4898	2	$3626247	2	$3626247	0	$ 0	2	$296074	5	$2822720
NY	158	$154605873	82	$15440571	10	$4611908	8	$1947135	23	$43374704	2	$2009509	0	$ 0	19	$11765711	38	$39000095
